Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?",,,
10/07/2018 22:21,Paid Gacha Only,,,,,,,,,,,,,,Artoria Pendragon,,,,,Shuten Douji,,,,Between 1 and 3 months,2,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:21,F2P,,,,,,,,,,Between 3 and 6 months,0,Prefer not to say,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:21,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred, Nero Claudius [Bride]",,Brynhildr,Ozymandias,Tamamo-no-mae,MHX,Vlad III,,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,10,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:21,Paid Gacha Only,,,,,,,,,,,,,,Okita Souji,,,,Zhuge Liang [El-Melloi II],Jack the Ripper,,,Jeanne D'arc [Alter],More than 1 year,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:22,F2P,"Artoria Pendragon, Altera",Orion,,Ozymandias,,Jack the Ripper,Vlad III,Jeanne D'arc,,Between 6 and 12 months,8,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:22,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred, Nero Claudius [Bride], Ryougi Shiki",Nikola Tesla,Scathach,"Queen Medb, Iskandar","Tamamo-no-mae, Xuanzang","Jack the Ripper, MHX, Shuten Douji","Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,29,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:22,F2P,Altera,,,,Zhuge Liang [El-Melloi II],,,,,More than 1 year,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:22,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,Arjuna,Scathach,"Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Xuanzang",Jack the Ripper,Vlad III,,,Between 3 and 6 months,10,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:23,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Okita Souji, Mordred","Gilgamesh, Orion, Nikola Tesla, Arjuna","Scathach, Artoria Pendragon [Lancer]","Queen Medb, Ozymandias",Tamamo-no-mae,"Jack the Ripper, Shuten Douji",Vlad III,Jeanne D'arc,,More than 1 year,17,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:23,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,,Scathach,Queen Medb,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",MHX,Vlad III,,,More than 1 year,9,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:23,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji",Gilgamesh,Karna,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,"Cu Chulainn [Alter], Florence Nightingale",,Extra Option: Angra Mainyu,More than 1 year,15,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:23,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,,Scathach,"Queen Medb, Ozymandias",,,,,,Between 6 and 12 months,4,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:23,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryougi Shiki,Gilgamesh,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae","Jack the Ripper, MHX","Sakata Kintoki, Vlad III",Jeanne D'arc,"Edmond Dantes, Extra Option: Angra Mainyu",Between 6 and 12 months,11,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:23,F2P,Artoria Pendragon,,Scathach,Iskandar,Leonardo Da Vinci,Jack the Ripper,Florence Nightingale,,Jeanne D'arc [Alter],More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:23,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Ryougi Shiki",Arjuna,,"Francis Drake, Ozymandias",,Jack the Ripper,Vlad III,,,Between 6 and 12 months,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:23,F2P,,"Gilgamesh, Orion",,,Zhuge Liang [El-Melloi II],Jack the Ripper,"Vlad III, Minamoto no Raikō",,Jeanne D'arc [Alter],More than 1 year,7,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:23,Paid Gacha Only,,,,,,,,,,,,,,,,,Ozymandias,Leonardo Da Vinci,Jack the Ripper,,,,Between 1 and 3 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:24,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,,,,,Jack the Ripper,,,,Between 3 and 6 months,2,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:24,F2P,"Altera, Mordred",,,Francis Drake,,,Vlad III,,Jeanne D'arc [Alter],More than 1 year,5,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:24,Paid Gacha Only,,,,,,,,,,,,,,,,,Francis Drake,,,,,,More than 1 year,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:24,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,,,,,"MHX, Shuten Douji",Minamoto no Raikō,,Jeanne D'arc [Alter],Between 6 and 12 months,6,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:24,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Ryougi Shiki","Gilgamesh, Orion, Arjuna","Scathach, Karna","Francis Drake, Queen Medb, Iskandar",Zhuge Liang [El-Melloi II],"MHX, Shuten Douji","Vlad III, Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,25,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:25,Paid Gacha Only,,,,,,,,,,,,,,,Orion,,,,Jack the Ripper,"Florence Nightingale, Minamoto no Raikō",,,Between 3 and 6 months,4,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:25,F2P,Artoria Pendragon,"Orion, Nikola Tesla",,,Zhuge Liang [El-Melloi II],"MHX, Shuten Douji",Minamoto no Raikō,,Jeanne D'arc [Alter],More than 1 year,10,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:25,F2P,"Altera, Okita Souji, Mordred",Nikola Tesla,,,,"MHX, Shuten Douji",Florence Nightingale,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,10,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:25,Paid Gacha Only,,,,,,,,,,,,,,Altera,,,Iskandar,"Tamamo-no-mae, Xuanzang",Shuten Douji,"Vlad III, Florence Nightingale",Jeanne D'arc,,More than 1 year,10,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:25,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji","Gilgamesh, Orion, Arjuna",Scathach,"Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci",Jack the Ripper,"Sakata Kintoki, Vlad III, Florence Nightingale",,Jeanne D'arc [Alter],Between 6 and 12 months,24,Male,No,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:25,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera","Gilgamesh, Nikola Tesla",Scathach,Francis Drake,"Zhuge Liang [El-Melloi II], Xuanzang",MHX,Vlad III,,,,12,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:25,Paid Gacha Only,,,,,,,,,,,,,,,,,Iskandar,,Jack the Ripper,Minamoto no Raikō,,,Between 3 and 6 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:25,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhuge Liang [El-Melloi II],Shuten Douji,,,Jeanne D'arc [Alter],Between 3 and 6 months,3,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:25,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera","Orion, Arjuna","Scathach, Karna","Queen Medb, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",Jack the Ripper,"Vlad III, Minamoto no Raikō",Jeanne D'arc,Extra Option: Angra Mainyu,More than 1 year,19,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:25,F2P,"Artoria Pendragon, Altera",,Karna,,,"Jack the Ripper, MHX",,Amakusa Shirou,,More than 1 year,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:25,F2P,"Mordred, Ryougi Shiki","Orion, Nikola Tesla",Scathach,,Xuanzang,"Jack the Ripper, Shuten Douji",Cu Chulainn [Alter],Jeanne D'arc,,Between 6 and 12 months,11,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:25,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred",Arjuna,Scathach,Ozymandias,"Tamamo-no-mae, Xuanzang",Shuten Douji,Minamoto no Raikō,,Jeanne D'arc [Alter],More than 1 year,13,Male,No,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:25,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,,Ozymandias,Zhuge Liang [El-Melloi II],,"Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Extra Option: Angra Mainyu,More than 1 year,12,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:26,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji, Mordred",,,Francis Drake,Xuanzang,,,Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,8,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:26,Paid Gacha Only,,,,,,,,,,,,,,Ryougi Shiki,Gilgamesh,,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,,,,More than 1 year,7,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:26,F2P,Altera,,,,,,"Cu Chulainn [Alter], Florence Nightingale",,,Between 3 and 6 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:26,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Ryougi Shiki","Orion, Nikola Tesla","Scathach, Brynhildr","Iskandar, Ozymandias","Xuanzang, Leonardo Da Vinci","Jack the Ripper, MHX, Shuten Douji",,Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,17,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:26,Paid Gacha Only,,,,,,,,,,,,,,,Arjuna,Scathach,Francis Drake,"Zhuge Liang [El-Melloi II], Xuanzang",Shuten Douji,Minamoto no Raikō,,,Between 3 and 6 months,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:26,F2P,"Altera, Mordred",,,,,Shuten Douji,Vlad III,,,Between 6 and 12 months,5,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:27,Paid Gacha Only,,,,,,,,,,,,,,"Okita Souji, Mordred, Ryougi Shiki",,Scathach,Ozymandias,"Zhuge Liang [El-Melloi II], Xuanzang, Leonardo Da Vinci",,,Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes, Extra Option: Angra Mainyu",More than 1 year,12,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:27,Paid Gacha Only,,,,,,,,,,,,,,Altera,,,Ozymandias,Zhuge Liang [El-Melloi II],,Minamoto no Raikō,,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 3 and 6 months,6,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:27,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ozymandias,,,Cu Chulainn [Alter],,,Less than 1 month,2,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:27,Paid Gacha Only,,,,,,,,,,,,,,Altera,Gilgamesh,,Francis Drake,Zhuge Liang [El-Melloi II],,Vlad III,,Jeanne D'arc [Alter],More than 1 year,6,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:27,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji",Gilgamesh,Scathach,,Xuanzang,Shuten Douji,"Vlad III, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,13,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:27,Paid Gacha Only,,,,,,,,,,,,,,,,Scathach,,"Zhuge Liang [El-Melloi II], Leonardo Da Vinci",,Florence Nightingale,Jeanne D'arc,Extra Option: Angra Mainyu,Between 6 and 12 months,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:27,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred",Orion,Scathach,,Zhuge Liang [El-Melloi II],"Jack the Ripper, MHX",,,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,12,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:27,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred",,Brynhildr,Iskandar,,Shuten Douji,Florence Nightingale,Jeanne D'arc,Extra Option: Angra Mainyu,Between 6 and 12 months,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:27,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Okita Souji, Ryougi Shiki",Arjuna,Scathach,Queen Medb,Zhuge Liang [El-Melloi II],Jack the Ripper,"Vlad III, Minamoto no Raikō",,Jeanne D'arc [Alter],More than 1 year,12,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:27,F2P,Ryougi Shiki,,,Ozymandias,,,,,Edmond Dantes,Between 6 and 12 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:27,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Arjuna,,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,,,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,10,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:27,F2P,"Altera, Mordred","Nikola Tesla, Arjuna",Scathach,,Zhuge Liang [El-Melloi II],Shuten Douji,,,,Between 6 and 12 months,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:28,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,Scathach,,Zhuge Liang [El-Melloi II],Shuten Douji,,,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:28,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zhuge Liang [El-Melloi II], Xuanzang",,,,,Between 6 and 12 months,2,Male,No,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:28,F2P,Okita Souji,,Karna,,,Jack the Ripper,Vlad III,,,More than 1 year,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:28,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]",,Scathach,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Shuten Douji,Vlad III,Jeanne D'arc,,More than 1 year,10,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:28,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Arjuna,Scathach,,Xuanzang,,,,Jeanne D'arc [Alter],More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:28,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,,Scathach,Francis Drake,,Shuten Douji,,,Edmond Dantes,More than 1 year,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:28,Paid Gacha Only,,,,,,,,,,,,,,Mordred,,,Francis Drake,,,Vlad III,,Jeanne D'arc [Alter],Between 6 and 12 months,3,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:29,More than 500 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Mordred, Nero Claudius [Bride]","Orion, Nikola Tesla","Scathach, Brynhildr","Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Xuanzang",MHX,"Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,32,Male,,,,,,,"Yes, I rerolled",,,
10/07/2018 22:29,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,,Brynhildr,"Francis Drake, Queen Medb, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Cu Chulainn [Alter],Jeanne D'arc,,More than 1 year,13,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:29,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ozymandias,Zhuge Liang [El-Melloi II],,Florence Nightingale,,,Between 1 and 3 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:29,Paid Gacha Only,,,,,,,,,,,,,,Artoria Pendragon,Gilgamesh,,"Francis Drake, Ozymandias",,,Cu Chulainn [Alter],,,More than 1 year,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:29,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji, Mordred",Gilgamesh,Artoria Pendragon [Lancer],Iskandar,,,"Sakata Kintoki, Vlad III",,,More than 1 year,12,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:29,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Okita Souji,,,Francis Drake,Xuanzang,Shuten Douji,Vlad III,,Jeanne D'arc [Alter],More than 1 year,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:29,F2P,,Orion,Scathach,,Zhuge Liang [El-Melloi II],,,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:30,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji","Gilgamesh, Orion",Scathach,"Francis Drake, Queen Medb",Zhuge Liang [El-Melloi II],"Jack the Ripper, MHX",Vlad III,,Edmond Dantes,More than 1 year,13,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:30,F2P,Okita Souji,,Scathach,,"Zhuge Liang [El-Melloi II], Xuanzang",,,,,Between 6 and 12 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:30,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji, Mordred, Nero Claudius [Bride]",Orion,Scathach,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci","Jack the Ripper, MHX, Shuten Douji",Sakata Kintoki,Jeanne D'arc,,More than 1 year,25,Male,No,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:30,F2P,Okita Souji,,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,"Vlad III, Cu Chulainn [Alter]",,,More than 1 year,7,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:30,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Okita Souji, Ryougi Shiki",,Scathach,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Shuten Douji,"Vlad III, Minamoto no Raikō",,,More than 1 year,16,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:30,Paid Gacha Only,,,,,,,,,,,,,,,,,Ozymandias,Tamamo-no-mae,,,Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:30,F2P,,,,,,Shuten Douji,,,,More than 1 year,2,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:30,Paid Gacha Only,,,,,,,,,,,,,,,,,Queen Medb,Xuanzang,,"Vlad III, Cu Chulainn [Alter]",,Jeanne D'arc [Alter],Between 3 and 6 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
